TEMPRATURE.SEQ
0.428571428571429,0
0.571428571428571,1
0.875,2
0.75,3
1,4
0.625,5
1,6
0.818181818181818,7
0.75,8
0.85714285714288,9
0.85714285714286,10
1,11
0.874999999999986,12
114.285.714.285.717,00
137.499.999.999.995,00
128.571.428.571.432,00
133.333.333.333.334,00
177.272.727.272.727,00
175.000.000.000.001,00
285.714.285.714.287,00
237.500.000.000.001,00
285.714.285.714.287,00
299.999.999.999.994,00
275.000.000.000.001,00
385.714.285.714.287,00
462.500.000.000.002,00
560.000.000.000.002,00
637.500.000.000.002,00
104.285.714.285.713,00
12.5,29
161.333.333.333.334,00
194.285.714.285.711,00
181.875.000.000.001,00
202.000.000.000.001,00
160.000.000.000.001,00
537.500.000.000.002,00
0.42857142857142,36
0.400000000000001,37
0.375000000000001,38
0.42857142857143,39
0.375000000000001,40
0.57142857142856,41
0.533333333333335,42
0.85714285714286,43
0.500000000000002,44
0.714285714285701,45
0.625000000000002,46
0.714285714285717,47
0.625000000000002,48
0.800000000000003,49
0.857142857142841,50
0.875000000000003,51
0.85714285714286,52
0.933333333333337,53
0.750000000000003,54
0.857142857142841,55
1,56
1.25,57
128.571.428.571.429,00
150.000.000.000.001,00
14.285.714.285.714,60
150.000.000.000.001,00
220.000.000.000.001,00
271.428.571.428.572,00
342.857.142.857.136,00
275.000.000.000.001,00
42.857.142.857.143,60
362.500.000.000.001,00
500.000.000.000.002,00
575.000.000.000.002,00
733.333.333.333.328,00
985.714.285.714.289,00
10.625,72
145.714.285.714.286,00
147.500.000.000.001,00
164.285.714.285.711,00
162.500.000.000.001,00
156.250.000.000.001,00
185.714.285.714.286,00
166.250.000.000.001,00
218.571.428.571.429,00
160.000.000.000.001,00
148.571.428.571.426,00
675.000.000.000.002,00
0.85714285714286,84
0.454545454545453,85
0.500000000000002,86
0.85714285714286,87
0.666666666666666,88
0.500000000000002,89
0.571428571428574,90
0.750000000000003,91
0.85714285714285,92
0.625000000000002,93
0.714285714285709,94
100.000.000.000.001,00
0.624999999999996,96
0.750000000000003,97
0.999999999999992,98
12.857.142.857.143,90
0.874999999999986,100
100.000.000.000.001,00
124.999.999.999.999,00
171.428.571.428.572,00
124.999.999.999.999,00
185.714.285.714.288,00
193.333.333.333.333,00
237.499.999.999.998,00
342.857.142.857.144,00
337.499.999.999.998,00
471.428.571.428.578,00
424.999.999.999.993,00
585.714.285.714.294,00
659.999.999.999.999,00
562.499.999.999.996,00
428.571.428.571.435,00
314.285.714.285.712,00
312.500.000.000.001,00
442.857.142.857.139,00
900.000.000.000.003,00
185.714.285.714.286,00
166.249.999.999.999,00
200.000.000.000.001,00
188.749.999.999.999,00
247.142.857.142.858,00
193.750.000.000.001,00
133.749.999.999.999,00
542.857.142.857.145,00
0.374999999999998,128
0,129
0,13
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0.142857142857142,138
0.125,139
0.125,140
0.142857142857143,141
0.125,142
0.142857142857142,143
0.125,144
0.142857142857143,145
0.133333333333333,146
0.250000000000001,147
0.285714285714285,148
0.285714285714285,149
0.250000000000001,150
0.25,151
0.285714285714286,152
0.624999999999999,153
0.285714285714286,154
0.285714285714286,155
0.25,156
0.375,157
0.285714285714286,158
0.466666666666666,159
0.333333333333333,160
0.25,161
0.285714285714285,162
0.285714285714286,163
0.375,164
0.25,165
0.285714285714286,166
0.428571428571428,167
0.375,168
0.428571428571428,169
0.5,170
0.5,171
0.428571428571429,172
